artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
54;Zanahoria;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1100;1000;1050
55;Zanahoria bogotana;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1667;1333;1458
249;Carne de res, cadera;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;17000;17000
175;Papa suprema;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;700;660;673
179;Papa única;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;700;560;613
137;Papaya Maradol;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2500;2400;2450
274;Carne de cerdo, costilla;2020-02-22T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;15000;14000;14667
275;Carne de cerdo, espinazo;2020-02-22T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;10000;10000;10000
277;Carne de cerdo, lomo sin hueso;2020-02-22T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;16000;16000;16000
251;Carne de res, costilla;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11000;10600;10867
258;Carne de res, falda;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
365;Jugo instantáneo (sobre);2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;25000;24722;24907
236;Leche en polvo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;27222;20895;24480
325;Pargo rojo platero;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;24000;22000;22667
369;Pastas alimenticias;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4708;4688;4698
340;Aceite vegetal mezcla;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6375;5200;5806
88;Aguacate común;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2800;2967
260;Carne de res, lomo fino;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;22000;22000;22000
262;Carne de res, morrillo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;13000;12600;12733
263;Carne de res, muchacho;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;16000;16333
8;Lechuga Batavia;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2500;2400;2450
224;Lenteja importada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2200;2184;2195
288;Pechuga de pollo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;8400;7500;8100
67;Pepino cohombro;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1200;1000;1133
