Fecha;Grupo;Producto;Mercado;Precio  por kilogramo
abr-20;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Buenaventura (Valle del Cauca); 1,389 
abr-20;VERDURAS Y HORTALIZAS;Cebolla junca Aquitania;Buenaventura (Valle del Cauca); 3,136 
abr-20;VERDURAS Y HORTALIZAS;Chócolo mazorca;Buenaventura (Valle del Cauca); 1,002 
abr-20;VERDURAS Y HORTALIZAS;Cilantro;Buenaventura (Valle del Cauca); 2,679 
abr-20;VERDURAS Y HORTALIZAS;Fríjol verde en vaina;Buenaventura (Valle del Cauca); 3,400 
abr-20;VERDURAS Y HORTALIZAS;Habichuela;Buenaventura (Valle del Cauca); 1,764 
abr-20;VERDURAS Y HORTALIZAS;Lechuga Batavia;Buenaventura (Valle del Cauca); 1,581 
abr-20;VERDURAS Y HORTALIZAS;Pepino cohombro;Buenaventura (Valle del Cauca); 1,124 
abr-20;VERDURAS Y HORTALIZAS;Pimentón;Buenaventura (Valle del Cauca); 1,905 
abr-20;VERDURAS Y HORTALIZAS;Remolacha bogotana;Buenaventura (Valle del Cauca); 1,954 
